Element
LineAsym
LibraryType	Description	LineLoadCount	RelIdeal	RelType	R_RR	R_RS	R_RT	R_RN	R_RG	R_SS	R_ST	R_SN	R_SG	R_TT	R_TN	R_TG	R_NN	R_NG	R_GG	X_RR	X_RS	X_RT	X_RN	X_RG	X_SS	X_ST	X_SN	X_SG	X_TT	X_TN	X_TG	X_NN	X_NG	X_GG	C_RR	C_RS	C_RT	C_RN	C_SS	C_ST	C_SN	C_TT	C_TN	C_NN	IrLimit1	IrLimit2	IrLimit3	IrLimit4	IErMax	ReductionFactor	Q	RatedTemp	OperatingTemp	OperatingTempMax	TempAtEndOfSC	Material	Layout	Unit	Switchable	LineType	ManualInput	KAsyFactor	FrequencyDependence	Proz_wert	Phase	ProbabilityOfFailure	GroupType	Rating	
BT_1/0 AAAC_AAAC_1/0_1		0	False		0.1971	0.194803	0	0	0	0.192543	0	0	0	0	0	0	0	0	0	0.721362	0.361938	0	0	0	0.726975	0	0	0	0	0	0	0	0	0	0.00949193	-0.00280787	0	0	0.00933037	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
BT_1/0 AAAC_AAAC_1/0_3		0	False		0.712091386	0.059216675	0	0.059216675	0	0.712091386	0	0.059216675	0	0	0	0	697364889	0	0	0.932926708	0.839161795	0	0.846928935	0	0.932926708	0	0.846928935	0	0	0	0	931683966	0	0	0	0	0	0	0	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
BT_1/0 AAAC_AAAC_1/0_4		0	False		0.712091386	0.059216675	0.059216675	0.059216675	0	0.712091386	0.059216675	0.059216675	0	0.697364889	0.059216675	0	0.697364889	0	0	0.932926708	0.839161795	0.846928935	0.846928935	0	0.932926708	0.846928935	0.846928935	0	0.931683966	0.846928935	0	0.931683966	0	0	0	0	0	0	0	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
BT_1/0 AAAC_AAAC_123.3_1		0	False		0.172111	0.170071	0	0	0	0.168067	0	0	0	0	0	0	0	0	0	0.652344	0.293951	0	0	0	0.660004	0	0	0	0	0	0	0	0	0	0.00952893	-0.00277357	0	0	0.00936217	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
BT_1/0 AAAC_AAAC_123.3_3		0	False		0.71224363	0.059229335	0	0.059229335	0	0.71224363	0	0.059229335	0	0	0	0	0.697513984	0	0	0.933126165	0.839341206	0	0.847110006	0	0.933126165	0	0.847110006	0	0	0	0	931883157	0	0	0	0	0	0	0	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
BT_1/0 AAAC_AAAC_2_1		0	False		0.1971	0.194803	0	0	0	0.192543	0	0	0	0	0	0	0	0	0	0.721362	0.361938	0	0	0	0.726975	0	0	0	0	0	0	0	0	0	0.00949193	-0.00280787	0	0	0.00933037	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
BT_1/0 AAAC_AAAC_2_3		0	False		0.712	0.0592	0.0592	0	0	0.712	0.0592	0	0	0.697513	0	0	0	0	0	0.933	0.839	0.874	0	0	0.933	0.847	0	0	0.93188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
BT_1/0 AAAC_AAAC_2_6		0	False		1.844308224	0.1533704832	0	0.1533704832	0	1.844308224	0	0.1533704832	0	0	0	0	1.8061667712	0	0	2.4162690816	2.173419072	0	2.193535872	0	2.4162690816	0	2.193535872	0	0	0	0	2.4130503936	0	0	0	0	0	0	0	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
BT_1/0 AAAC_AAAC_6_3		0	False		0.71224363	0.059229335	0	0.059229335	0	0.71224363	0	0.059229335	0	0	0	0	0.697513984	0	0	0.933126165	0.839341206	0	0.847110006	0	0.933126165	0	0.847110006	0	0	0	0	931883157	0	0	0	0	0	0	0	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
BT_1/0 AAAC_ACSR_1/0_1		0	False		0.159397	0.157563	0	0	0	0.155761	0	0	0	0	0	0	0	0	0	0.667079	0.308492	0	0	0	0.674354	0	0	0	0	0	0	0	0	0	0.00938972	-0.00290262	0	0	0.00924254	0	0	0	0	0	205	205	205	205	0	1	0	20	40	80	160	0	0	0	0	0	False	105.99		False		0		0	
