Element
Trafo2Winding
LibraryType	Description	VectorGroup	Sr	Ur1	Ur2	Ukr	Urr	Ukr0	Urr0	I0	Pfe	EarthingType1	Re1	Xe1	ZeActive1	EarthingType2	Re2	Xe2	ZeActive2	IsRegulated	RemoteControl	TapSide	CntrlSide	Beta	DeltaU	TapMin	TapRated	TapMax	TapAct	Uset	Pset	Uk010	Uk020	Ir1Limit1	Ir1Limit2	Ir1Limit3	Ir1Limit4	Ir2Limit1	Ir2Limit2	Ir2Limit3	Ir2Limit4	SrLimit1	SrLimit2	SrLimit3	SrLimit4	LimitsIrOrSr	SymmetricalPhaseShifter	LinearPhaseShifter	AdditionalPhaseShiftRectiformer	IsQRegulated	Qset	IsUnitTrafo	IsAutoTrafo	IsCompensationWinding	IsSwitchable	ConsiderPhaseVariation	ConsiderImpedanceVariation	ConsiderOtherCoils	IsRegulated2	IsTapChanger2Active	TapSide2	Beta2	DeltaU2	TapMin2	TapRated2	TapMax2	TapAct2	IsCompounding	IminComp	ImaxComp	UminComp	UmaxComp	IsOperValueActive	UbMax	IbMax	CosB	UbMin	pTap	OperatingTemp	HasCommenEarthing	ZlimitYY	FreeBand	ConsiderFreeBand	PassiveCost	Utolerance	UsollActive	ConformityLoss	ConformityProfit	ActiveRole	CosphiMin	IncludeInObjective	PassiveRole	TapMinUk	TapMinUk0	TapMaxUk	TapMaxUk0	TrafoType	AngleOrVoltage	GammaOrTheta	GammaSoll	ThetaSoll	UsollDC	DCControl	IsITNetz	RegTraContr	RelaxRegTrFactor	EnforceRegTrafCntrls	TapStepCost	LimitsActiveOPF	LimitTypeOPF	PrOPF	SrOPF	Ir2OPF	Ir1OPF	TapChangeConstraintType	HasTapChangerCapabilities	TrafoStandard	ShowRatedCurrent	CurveIT2Name	ShowCurveIT2	MaxTapChanges	HasTapChangeLimitMOPF	ConditionDate	ShowInrush	InrushTime	InrushCurrent	CalcConditionFromAge	LTCFlag2	LTCFlag1	ConditionERIS	CompUseCurve	CompIminOnSameAxisAsImax	UserDefinedCurve	Converter_Wind_Station	ConnectionFrameTemplateName	RelIdeal	RelType	ULTC_Model	ULTC_ctrlType	ULTC_DelayType	ULTC_TM0	ULTC_TD1	ULTC_TD0	ULTC_Deadband	LMuns	LMsat	KP	phiresA	phiresB	phiresC	D3SinglePhaseTrafo	Sr_L1	Ur1_L1	Ur2_L1	Ukr_L1	Urr_L1	Ukr0_L1	Urr0_L1	I0_L1	PFe_L1	Sr_L2	Ur1_L2	Ur2_L2	Ukr_L2	Urr_L2	Ukr0_L2	Urr0_L2	I0_L2	PFe_L2	Sr_L3	Ur1_L3	Ur2_L3	Ukr_L3	Urr_L3	Ukr0_L3	Urr0_L3	I0_L3	PFe_L3	Priority	TypeOfFault	FactorForANSICurve	FrequencyDependence	Proz_wert	Phase	ProbabilityOfFailure	GroupType	Rating	
ABC_1000.0_34.5_kV_.240_kV_2_Estrella_Fase_Partida		YNd1	1	34.5	0.24	5.51738171599537	0.549	5.53748146723761	0.551	1	2.1	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	0	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
ABC_112.5_34.5_kV_.240_kV_1_Estrella_Fase_Partida		Yd1	0.1125	34.5	0.24	5.1957856961195	0.517	5.2217	0.51957856961195	1	0.3696	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	0	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
ABC_150.0_34.5_kV_.208_kV_1_Estrella_Estrella		Yy0	0.15	34.5	0.208	5.26613482546735	0.524	5.2924	0.526613482546735	1	0.45	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	0	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
ABC_150.0_34.5_kV_.240_kV_1_Estrella_Fase_Partida		YNd1	0.15	34.5	0.24	5.26613482546735	0.524	5.2924	0.526613482546735	1	0.45	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	0	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
ABC_150.0_34.5_kV_.480_kV_1_Estrella_Estrella		Yy0	0.15	34.5	0.48	5.26613482546735	0.524	5.2924	0.526613482546735	1	0.54	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	0	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
ABC_1500.0_34.5_kV_.480_kV_2_Estrella_Estrella		Yy0	1.5	34.5	0	5.52743159161649	0.55	5.52743159161649	0.55	1	2.85	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	0	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
ABC_175.0_34.5_kV_.240_kV_1_Estrella_Fase_Partida		YNd1	0.175	34.5	0.24	5.26613482546735	0.524	5.28623457670959	0.526	1	0.45	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	1	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
ABC_225.0_34.5_kV_.208_kV_1_Estrella_Estrella		Yy0	0.225	34.5	0.208	5.32643407919407	0.53	5.353	0.532643407919407	1	0.63	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	0	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
ABC_225.0_34.5_kV_.208_kV_2_Estrella_Estrella		Yy0	0.225	34.5	0.208	5.32643407919407	0.53	5.353	0.532643407919407	1	0.63	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	0	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
ABC_225.0_34.5_kV_.240_kV_1_Estrella_Fase_Partida		YNd1	0.225	34.5	0.24	5.32643407919407	0.53	5.353	0.532643407919407	1	0.63	1	0	0	100	1	0	0	100	0	False	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	False	False	0	False	0	0	False	False	0	False	False	False	0	False	0	0	0	0	0	0	0	False	0	0	0	0	False	0	0	0	0	0	40	False	100	0	False	13.2	0	100	0.93	0.3	False	0.9	False	False	0	0	0	0	0	0	0	0	0	100	False	False	0	0	False	0	False	0	0	0	0	0	0	0	1	False	Additional curve	False	0	False	1/1/0001 12:00:00 AM	False	10	1	False	False	False	0.9	False	False	False	False		False		0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		False		0		0	
